case,case_label,operator,unit_no_volume_power,unit_volume_power,rho_volume_power,density_transport_correction,paired_transport_power,conv_linf,conv_p99,ke,u_linf,v_linf,rho_rhs_linf,positive_rho_power,negative_rho_power,positive_paired_power,negative_paired_power,conv_prev_rho_volume_power,imex_bdf2_rho_volume_power,imex_bdf2_linf,rho_power_gas_core,rho_power_gas_interface,rho_power_liquid_interface,rho_power_liquid_bulk,paired_power_gas_core,paired_power_gas_interface,paired_power_liquid_interface,paired_power_liquid_bulk
stable_t0p01,stable t~0.01,ccd,-0.15611438691867674,-7.554292435385857e-09,0.00021044883230797744,-0.0001336366409901135,7.681219131786394e-05,24.377629369133004,19.26742350834858,5.936032042677943e-05,0.12030045846791906,0.3036677057621129,51295.14465034693,0.0010175347558098494,-0.0008070859235018719,0.0008936146020493644,-0.0008168024107315004,nan,nan,nan,-9.185756893756788e-06,-0.0001239344018516939,0.0003307960914833744,1.2772899570053807e-05,-3.206508141483941e-07,-0.00017425261847290653,0.00022730027756247745,2.408518304244145e-05
stable_t0p01,stable t~0.01,uccd6,-6.131333139869874,-3.028270829368042e-07,0.00015081914789117335,-0.0001336366409901135,1.7182506901059917e-05,22.911836934855902,17.663712020049893,5.936032042677943e-05,0.12030045846791906,0.3036677057621129,51295.14465034693,0.001414287317355282,-0.0012634681694641088,0.00140829860055873,-0.0013911160936576701,-0.0014843971305820657,0.0017860354263644128,150.22099068681698,-8.824174939925812e-06,-0.0001650366117124371,0.00020455745004751977,0.00012012248449601651,4.093113968257884e-08,-0.00021535482833364973,0.0001010616361266229,0.00013143476796840414
stable_t0p01,stable t~0.01,fccd_flux,-0.12276263463867476,-2.1544470744251543e-08,0.00013457341867637777,-0.0001336366409901135,9.367776862643774e-07,16.594484304100543,12.870668344550895,5.936032042677943e-05,0.12030045846791906,0.3036677057621129,51295.14465034693,0.0007983368898832916,-0.0006637634712069137,0.0008302297072826531,-0.0008292929295963887,nan,nan,nan,-5.9969978857441915e-06,-7.412555100324664e-05,0.00022175927365041881,-7.063306085050152e-06,2.868108193864198e-06,-0.0001244437676244593,0.00011826345972952192,4.248977387337497e-06
stable_t0p01,stable t~0.01,fccd_nodal,-0.5192765421548882,-3.508470292953949e-08,0.00012334570905550034,-0.0001336366409901135,-1.0290931934613137e-05,18.267271308053374,14.069716535594136,5.936032042677943e-05,0.12030045846791906,0.3036677057621129,51295.14465034693,0.0007979673189988301,-0.0006746216099433297,0.0007667744177515408,-0.0007770653496861539,nan,nan,nan,-6.455853364656469e-06,-9.39848895774038e-05,0.00022689425628199877,-3.1078042844381634e-06,2.4092527149519216e-06,-0.00014430310619861645,0.0001233984423611019,8.204479187949477e-06
pre_blowup_t0p018033,pre-blow-up,ccd,-15263162386856.688,7432996.646687999,64683722948.00678,-28926223656.5836,35757499291.4232,97091217384.42912,87643871826.26378,883870.8994627862,15593.717577199073,305.93676356205515,4071158500.9054904,2938657474046.4785,-2873973751098.472,3534312782217.676,-3498555282926.252,nan,nan,nan,2363449401.9397235,1554855434.3059428,64852507336.29584,-4087089224.53482,4003163421.872828,-36176395525.14784,70700497263.34497,-2769765868.6468134
pre_blowup_t0p018033,pre-blow-up,uccd6,-5.852355800757033e+17,-36002261050.17653,-14102904962523.1,-28926223656.5836,-14131831186179.684,234237630287.11804,192863853756.42603,883870.8994627862,15593.717577199073,305.93676356205515,4071158500.9054904,309864291520.9972,-14412769254044.098,526108882524.82605,-14657940068704.51,1286036810697943.5,-1314242620622990.0,11565353737791.96,-168144935747.888,-3363556049907.4023,-8803564069489.45,-1767639907378.3616,-166505221727.9549,-3401287300866.8555,-8797716079562.398,-1766322584022.4736
pre_blowup_t0p018033,pre-blow-up,fccd_flux,-51029910769994.19,20241078.63089404,81328911153.77652,-28926223656.5836,52402687497.19293,126825652467.63237,111265374110.13065,883870.8994627862,15593.717577199073,305.93676356205515,4071158500.9054904,3346244898143.5767,-3264915986989.8003,3786948330879.033,-3734545643381.84,nan,nan,nan,4668454598.9103985,-11375048392.829239,75857931033.39078,12177573914.304647,6308168618.843506,-49106299352.28308,81705920960.43982,13494897270.192726
pre_blowup_t0p018033,pre-blow-up,fccd_nodal,-42413802469435.84,865095.7091067694,33578723644.674526,-28926223656.5836,4652499988.090997,59911008502.52398,54056455352.44549,883870.8994627862,15593.717577199073,305.93676356205515,4071158500.9054904,1403867078811.2993,-1370288355166.625,2319064866933.1655,-2314412366945.074,nan,nan,nan,1485075697.8196223,542093533.5382607,35843024306.38016,-4291469893.063532,3124789717.7527304,-37189157425.91552,41691014233.42922,-2974146537.1754494
final_guard_t0p018033,guard final,ccd,-66938747606444.875,19624597.691810787,193578847837.79425,-87751479658.54074,105827368179.25348,194547708927.00934,171666002318.41486,1745169.412529016,22006.661273100748,424.1478599765762,5707746086.660673,8142698803519.162,-7949119955681.367,9791935287165.574,-9686107918986.32,nan,nan,nan,-7096386450.686716,-22514404361.51793,6850015926.416183,216339622723.58295,-33693529791.37701,-89984749640.19681,-19575309118.04567,249080956728.8732
final_guard_t0p018033,guard final,uccd6,-1.5997174943091712e+18,-98470846664.36722,-38577086152710.69,-87751479658.54074,-38664837632369.22,459889170296.56323,394714730661.0807,1745169.412529016,22006.661273100748,424.1478599765762,5707746086.660673,886868136869.1348,-39463954289579.81,1510288279219.4111,-40175125911588.64,3498195876154951.0,-3575350048460373.0,22334764231302.867,-492096742604.8583,-9126660662380.457,-24638002160662.297,-4320326587063.0723,-518693885945.5486,-9194131007659.135,-24664427485706.76,-4287585253057.782
final_guard_t0p018033,guard final,fccd_flux,-136302955033924.25,58106809.127171084,244884234388.19003,-87751479658.54074,157132754729.64905,254181540518.2435,215828672258.48932,1745169.412529016,22006.661273100748,424.1478599765762,5707746086.660673,9293384484247.863,-9048500249859.672,10506006991434.984,-10348874236705.336,nan,nan,nan,-3570577992.0082483,-63562845052.87038,93371129924.63116,218646527508.43744,-30167721332.698513,-131033190331.54932,66945804880.16924,251387861513.7276
final_guard_t0p018033,guard final,fccd_nodal,-132886402361472.0,1733473.9516164884,101431155434.82698,-87751479658.54074,13679675776.286022,120159163691.07196,104865178712.27051,1745169.412529016,22006.661273100748,424.1478599765762,5707746086.660673,3907001881019.3887,-3805570725584.5615,6438246416352.315,-6424566740576.029,nan,nan,nan,-3933915551.677452,-14664732381.737278,105336057756.67892,14693745611.56291,-30531058892.367744,-82135077660.41614,78910732712.21707,47435079616.8531
