candidate,density_ratio,shift_cells,current_rate,history_rate,history_minus_current_rate,ke,linf
baseline_velocity_uccd6_imex,1.0,0.0,-2.8278027663225513e-07,-2.8278027663225513e-07,0.0,0.25,3.1415921006976446
current_only_uccd6,1.0,0.0,-2.8278027663225513e-07,-2.8278027663225513e-07,0.0,0.25,3.1415921006976446
conservative_velocity_imex,1.0,0.0,3.4694469519535988e-18,3.4694469519535988e-18,0.0,0.25,3.121324441059054
current_only_conservative_velocity,1.0,0.0,3.4694469519535988e-18,3.4694469519535988e-18,0.0,0.25,3.121324441059054
consistent_momentum_history,1.0,0.0,-1.7347234759768056e-17,-1.7347234759768056e-17,0.0,0.25,3.121324441059061
current_only_momentum,1.0,0.0,-1.7347234759768056e-17,-1.7347234759768056e-17,0.0,0.25,3.121324441059061
baseline_velocity_uccd6_imex,1.0,0.25,-2.8278027663225513e-07,-2.834611088266964e-07,-6.80832194441261e-10,0.25,3.1567197300060603
current_only_uccd6,1.0,0.25,-2.8278027663225513e-07,-2.8278027663225513e-07,0.0,0.25,3.1415921006976446
conservative_velocity_imex,1.0,0.25,3.4694469519535988e-18,1.7347234759767917e-18,-1.734723475976807e-18,0.25,3.1363544713875124
current_only_conservative_velocity,1.0,0.25,3.4694469519535988e-18,3.4694469519535988e-18,0.0,0.25,3.121324441059054
consistent_momentum_history,1.0,0.25,-1.7347234759768056e-17,-4.839357068366693e-17,-3.104633592389888e-17,0.25,3.1363544713875213
current_only_momentum,1.0,0.25,-1.7347234759768056e-17,-1.7347234759768056e-17,0.0,0.25,3.121324441059061
baseline_velocity_uccd6_imex,1.0,0.5,-2.8278027663225513e-07,-2.8549704847620483e-07,-2.7167718439496946e-09,0.25,3.201956920791828
current_only_uccd6,1.0,0.5,-2.8278027663225513e-07,-2.8278027663225513e-07,0.0,0.25,3.1415921006976446
conservative_velocity_imex,1.0,0.5,3.4694469519535988e-18,4.510281037539697e-17,4.163336342344337e-17,0.25,3.181299814964561
current_only_conservative_velocity,1.0,0.5,3.4694469519535988e-18,3.4694469519535988e-18,0.0,0.25,3.121324441059054
consistent_momentum_history,1.0,0.5,-1.7347234759768056e-17,-1.051375906168595e-17,6.833475698082106e-18,0.25,3.1812998149645773
current_only_momentum,1.0,0.5,-1.7347234759768056e-17,-1.7347234759768056e-17,0.0,0.25,3.121324441059061
baseline_velocity_uccd6_imex,1.0,1.0,-2.8278027663225513e-07,-2.882138204068907e-07,-5.433543774635563e-09,0.25,3.5834641949976898
current_only_uccd6,1.0,1.0,-2.8278027663225513e-07,-2.8278027663225513e-07,0.0,0.25,3.1415921006976446
conservative_velocity_imex,1.0,1.0,3.4694469519535988e-18,-6.938893903907244e-18,-1.0408340855860843e-17,0.25,3.560345852287219
current_only_conservative_velocity,1.0,1.0,3.4694469519535988e-18,3.4694469519535988e-18,0.0,0.25,3.121324441059054
consistent_momentum_history,1.0,1.0,-1.7347234759768056e-17,-1.9556010653695094e-17,-2.208775893927038e-18,0.25,3.5603458522872264
current_only_momentum,1.0,1.0,-1.7347234759768056e-17,-1.7347234759768056e-17,0.0,0.25,3.121324441059061
baseline_velocity_uccd6_imex,10.0,0.0,-2.8278027663414756e-07,-2.8278027663414756e-07,0.0,1.375,3.1415921006976446
current_only_uccd6,10.0,0.0,-2.8278027663414756e-07,-2.8278027663414756e-07,0.0,1.375,3.1415921006976446
conservative_velocity_imex,10.0,0.0,-2.5232341468753557e-17,-2.5232341468753557e-17,0.0,1.375,3.129072886024159
current_only_conservative_velocity,10.0,0.0,-2.5232341468753557e-17,-2.5232341468753557e-17,0.0,1.375,3.129072886024159
consistent_momentum_history,10.0,0.0,-1.5139404881252134e-17,-1.5139404881252134e-17,0.0,1.375,23.00709178229778
current_only_momentum,10.0,0.0,-1.5139404881252134e-17,-1.5139404881252134e-17,0.0,1.375,23.00709178229778
baseline_velocity_uccd6_imex,10.0,0.25,-2.8278027663414756e-07,0.006223818345450097,0.006224101125726731,1.375,3.1567197300060603
current_only_uccd6,10.0,0.25,-2.8278027663414756e-07,-2.8278027663414756e-07,0.0,1.375,3.1415921006976446
conservative_velocity_imex,10.0,0.25,-2.5232341468753557e-17,0.006214863853163535,0.00621486385316356,1.375,3.1437686925431163
current_only_conservative_velocity,10.0,0.25,-2.5232341468753557e-17,-2.5232341468753557e-17,0.0,1.375,3.129072886024159
consistent_momentum_history,10.0,0.25,-1.5139404881252134e-17,0.006159899542455327,0.006159899542455342,1.375,22.937710575579903
current_only_momentum,10.0,0.25,-1.5139404881252134e-17,-1.5139404881252134e-17,0.0,1.375,23.00709178229778
baseline_velocity_uccd6_imex,10.0,0.5,-2.8278027663414756e-07,0.012510719778414508,0.012511002558691142,1.375,3.201956920791828
current_only_uccd6,10.0,0.5,-2.8278027663414756e-07,-2.8278027663414756e-07,0.0,1.375,3.1415921006976446
conservative_velocity_imex,10.0,0.5,-2.5232341468753557e-17,0.01249209906316841,0.012492099063168435,1.375,3.1884831241569613
current_only_conservative_velocity,10.0,0.5,-2.5232341468753557e-17,-2.5232341468753557e-17,0.0,1.375,3.129072886024159
consistent_momentum_history,10.0,0.5,-1.5139404881252134e-17,0.012304959347369422,0.012304959347369438,1.375,23.843396388839043
current_only_momentum,10.0,0.5,-1.5139404881252134e-17,-1.5139404881252134e-17,0.0,1.375,23.00709178229778
baseline_velocity_uccd6_imex,10.0,1.0,-2.8278027663414756e-07,0.025030721997573366,0.025031004777850002,1.375,3.5834641949976898
current_only_uccd6,10.0,1.0,-2.8278027663414756e-07,-2.8278027663414756e-07,0.0,1.375,3.1415921006976446
conservative_velocity_imex,10.0,1.0,-2.5232341468753557e-17,0.02499267511668983,0.024992675116689855,1.375,3.5700930065087197
current_only_conservative_velocity,10.0,1.0,-2.5232341468753557e-17,-2.5232341468753557e-17,0.0,1.375,3.129072886024159
consistent_momentum_history,10.0,1.0,-1.5139404881252134e-17,0.024491415209648603,0.024491415209648617,1.375,26.710267296618547
current_only_momentum,10.0,1.0,-1.5139404881252134e-17,-1.5139404881252134e-17,0.0,1.375,23.00709178229778
baseline_velocity_uccd6_imex,100.0,0.0,-2.8278027667107174e-07,-2.8278027667107174e-07,0.0,12.625,3.1415921006976446
current_only_uccd6,100.0,0.0,-2.8278027667107174e-07,-2.8278027667107174e-07,0.0,12.625,3.1415921006976446
conservative_velocity_imex,100.0,0.0,-2.1984614349013002e-17,-2.1984614349013002e-17,0.0,12.625,3.1316579303623673
current_only_conservative_velocity,100.0,0.0,-2.1984614349013002e-17,-2.1984614349013002e-17,0.0,12.625,3.1316579303623673
consistent_momentum_history,100.0,0.0,-2.1984614349013002e-17,-2.1984614349013002e-17,0.0,12.625,221.86476519468508
current_only_momentum,100.0,0.0,-2.1984614349013002e-17,-2.1984614349013002e-17,0.0,12.625,221.86476519468508
baseline_velocity_uccd6_imex,100.0,0.25,-2.8278027667107174e-07,0.0074563137526894195,0.007456596532966091,12.625,3.1567197300060603
current_only_uccd6,100.0,0.25,-2.8278027667107174e-07,-2.8278027667107174e-07,0.0,12.625,3.1415921006976446
conservative_velocity_imex,100.0,0.25,-2.1984614349013002e-17,0.007446318927805694,0.0074463189278057154,12.625,3.146183125232837
current_only_conservative_velocity,100.0,0.25,-2.1984614349013002e-17,-2.1984614349013002e-17,0.0,12.625,3.1316579303623673
consistent_momentum_history,100.0,0.25,-2.1984614349013002e-17,0.007379681630070214,0.0073796816300702355,12.625,220.95127161750378
current_only_momentum,100.0,0.25,-2.1984614349013002e-17,-2.1984614349013002e-17,0.0,12.625,221.86476519468508
baseline_velocity_uccd6_imex,100.0,0.5,-2.8278027667107174e-07,0.014988146565634906,0.014988429345911576,12.625,3.201956920791828
current_only_uccd6,100.0,0.5,-2.8278027667107174e-07,-2.8278027667107174e-07,0.0,12.625,3.1415921006976446
conservative_velocity_imex,100.0,0.5,-2.1984614349013002e-17,0.014967384932539757,0.01496738493253978,12.625,3.190760452240093
current_only_conservative_velocity,100.0,0.5,-2.1984614349013002e-17,-2.1984614349013002e-17,0.0,12.625,3.1316579303623673
consistent_momentum_history,100.0,0.5,-2.1984614349013002e-17,0.014741584960709877,0.014741584960709899,12.625,230.5556691975739
current_only_momentum,100.0,0.5,-2.1984614349013002e-17,-2.1984614349013002e-17,0.0,12.625,221.86476519468508
baseline_velocity_uccd6_imex,100.0,1.0,-2.8278027667107174e-07,0.02998735768299781,0.02998764046327448,12.625,3.5834641949976898
current_only_uccd6,100.0,1.0,-2.8278027667107174e-07,-2.8278027667107174e-07,0.0,12.625,3.1415921006976446
conservative_velocity_imex,100.0,1.0,-2.1984614349013002e-17,0.029944972614638313,0.029944972614638334,12.625,3.5734753641387544
current_only_conservative_velocity,100.0,1.0,-2.1984614349013002e-17,-2.1984614349013002e-17,0.0,12.625,3.1316579303623673
consistent_momentum_history,100.0,1.0,-2.1984614349013002e-17,0.029341200399678035,0.029341200399678056,12.625,258.2094817399318
current_only_momentum,100.0,1.0,-2.1984614349013002e-17,-2.1984614349013002e-17,0.0,12.625,221.86476519468508
baseline_velocity_uccd6_imex,833.3333333333334,0.0,-2.8278027662930275e-07,-2.8278027662930275e-07,0.0,104.29166666666666,3.1415921006976446
current_only_uccd6,833.3333333333334,0.0,-2.8278027662930275e-07,-2.8278027662930275e-07,0.0,104.29166666666666,3.1415921006976446
conservative_velocity_imex,833.3333333333334,0.0,-3.193609978945716e-17,-3.193609978945716e-17,0.0,104.29166666666666,3.1319708707176037
current_only_conservative_velocity,833.3333333333334,0.0,-3.193609978945716e-17,-3.193609978945716e-17,0.0,104.29166666666666,3.1319708707176037
consistent_momentum_history,833.3333333333334,0.0,-1.2774439915782865e-17,-1.2774439915782865e-17,0.0,104.29166666666666,1842.1865485548783
current_only_momentum,833.3333333333334,0.0,-1.2774439915782865e-17,-1.2774439915782865e-17,0.0,104.29166666666666,1842.1865485548783
baseline_velocity_uccd6_imex,833.3333333333334,0.25,-2.8278027662930275e-07,0.00758871659752094,0.00758899937779757,104.29166666666666,3.1567197300060603
current_only_uccd6,833.3333333333334,0.25,-2.8278027662930275e-07,-2.8278027662930275e-07,0.0,104.29166666666666,3.1415921006976446
conservative_velocity_imex,833.3333333333334,0.25,-3.193609978945716e-17,0.007578637530554664,0.007578637530554696,104.29166666666666,3.146473359615835
current_only_conservative_velocity,833.3333333333334,0.25,-3.193609978945716e-17,-3.193609978945716e-17,0.0,104.29166666666666,3.1319708707176037
consistent_momentum_history,833.3333333333334,0.25,-1.2774439915782865e-17,0.007510718725645649,0.007510718725645662,104.29166666666666,1834.3951023294774
current_only_momentum,833.3333333333334,0.25,-1.2774439915782865e-17,-1.2774439915782865e-17,0.0,104.29166666666666,1842.1865485548783
baseline_velocity_uccd6_imex,833.3333333333334,0.5,-2.8278027662930275e-07,0.015254288210109273,0.015254570990385902,104.29166666666666,3.201956920791828
current_only_uccd6,833.3333333333334,0.5,-2.8278027662930275e-07,-2.8278027662930275e-07,0.0,104.29166666666666,3.1415921006976446
conservative_velocity_imex,833.3333333333334,0.5,-3.193609978945716e-17,0.015233352416167615,0.015233352416167646,104.29166666666666,3.1910319157065383
current_only_conservative_velocity,833.3333333333334,0.5,-3.193609978945716e-17,-3.193609978945716e-17,0.0,104.29166666666666,3.1319708707176037
consistent_momentum_history,833.3333333333334,0.5,-1.2774439915782865e-17,0.015003343472019972,0.015003343472019984,104.29166666666666,1914.8778920835625
current_only_momentum,833.3333333333334,0.5,-1.2774439915782865e-17,-1.2774439915782865e-17,0.0,104.29166666666666,1842.1865485548783
baseline_velocity_uccd6_imex,833.3333333333334,1.0,-2.8278027662930275e-07,0.030519832418148006,0.030520115198424635,104.29166666666666,3.5834641949976898
current_only_uccd6,833.3333333333334,1.0,-2.8278027662930275e-07,-2.8278027662930275e-07,0.0,104.29166666666666,3.1415921006976446
conservative_velocity_imex,833.3333333333334,1.0,-3.193609978945716e-17,0.030477093985218886,0.030477093985218917,104.29166666666666,3.5738889728627248
current_only_conservative_velocity,833.3333333333334,1.0,-3.193609978945716e-17,-3.193609978945716e-17,0.0,104.29166666666666,3.1319708707176037
consistent_momentum_history,833.3333333333334,1.0,-1.2774439915782865e-17,0.029862196544742668,0.029862196544742682,104.29166666666666,2144.499377203967
current_only_momentum,833.3333333333334,1.0,-1.2774439915782865e-17,-1.2774439915782865e-17,0.0,104.29166666666666,1842.1865485548783
